danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.701,0.803,-6.786,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,4W4wYHtsrgDiivRASVOINL,320680
0.596,0.869,-11.97,0.037,0.0116,0.173,0.0678,0.944,109.902,05wIrZSwuaVWhcv5FfqeH0,238733
0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654,7yq4Qj7cqayVTp3FF9CWbm,204280
0.684,0.47,-9.088,0.0325,0.802,0.0,0.0711,0.381,79.934,2nXM8IVqKtyO6JKsLlXWAy,163133
0.495,0.781,-8.109,0.0413,0.254,0.0,0.395,0.473,119.206,3HRQtRUYnnuZY7fE900XtJ,248200
0.731,0.867,-5.881,0.032,0.0395,0.0,0.0861,0.776,104.019,3cfOd4CMv2snFaKAnMdnvK,200373
0.426,0.584,-5.293,0.296,0.0383,0.0,0.192,0.272,193.438,557un1HgwYMuqfWGSTmnxw,192587
0.442,0.83,-4.02,0.146,0.128,0.0,0.129,0.578,89.338,6OEolOOk9Gh9bqkdpfIOl0,215747
0.726,0.787,-2.494,0.0737,0.009,0.0,0.0596,0.888,124.99,4cluDES4hQEUhmXj6TXkSo,199987
0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,20I6sIOMTCkB6w7ryavxtO,193400
0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,7e89621JPkKaeDSTQ3avtg,283800
0.532,0.887,-3.757,0.0335,0.0778,0.000214,0.294,0.795,122.511,37ZJ0p5Jm13JPevGcx4SkF,249293
0.741,0.697,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,2LawezPeJhN4AWuSB0GtAU,160133
0.697,0.832,-7.264,0.0298,0.168,0.00131,0.269,0.979,125.926,2grjqo0Frpf2okIBiifQKs,215093
0.949,0.876,-6.472,0.0567,0.0128,0.0,0.124,0.483,117.579,66AiuTr5v9tw6B8gXau2aU,250413
